antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Pclass'}),frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),frozenset({'Pclass'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Sex'}),frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),frozenset({'Sex'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Age'}),frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),frozenset({'Age'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'SibSp'}),frozenset({'Survived'}),0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
frozenset({'Parch'}),frozenset({'Survived'}),0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
frozenset({'Fare'}),frozenset({'Survived'}),0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
frozenset({'Survived'}),frozenset({'Fare'}),0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
frozenset({'Embarked'}),frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),frozenset({'Embarked'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'classification'}),frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),frozenset({'classification'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Sex'}),frozenset({'Pclass'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Pclass'}),frozenset({'Sex'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Age'}),frozenset({'Pclass'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Pclass'}),frozenset({'Age'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'SibSp'}),frozenset({'Pclass'}),0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
frozenset({'Parch'}),frozenset({'Pclass'}),0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
frozenset({'Fare'}),frozenset({'Pclass'}),0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.0,inf
frozenset({'Pclass'}),frozenset({'Fare'}),1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.0,1.0
frozenset({'Embarked'}),frozenset({'Pclass'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Pclass'}),frozenset({'Embarked'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'classification'}),frozenset({'Pclass'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Pclass'}),frozenset({'classification'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Sex'}),frozenset({'Age'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Age'}),frozenset({'Sex'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'SibSp'}),frozenset({'Sex'}),0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
frozenset({'Parch'}),frozenset({'Sex'}),0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
frozenset({'Sex'}),frozenset({'Fare'}),1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.0,1.0
frozenset({'Fare'}),frozenset({'Sex'}),0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.0,inf
frozenset({'Embarked'}),frozenset({'Sex'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Sex'}),frozenset({'Embarked'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'classification'}),frozenset({'Sex'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Sex'}),frozenset({'classification'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'SibSp'}),frozenset({'Age'}),0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
frozenset({'Parch'}),frozenset({'Age'}),0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
frozenset({'Age'}),frozenset({'Fare'}),1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.0,1.0
frozenset({'Fare'}),frozenset({'Age'}),0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.0,inf
frozenset({'Embarked'}),frozenset({'Age'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Age'}),frozenset({'Embarked'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'classification'}),frozenset({'Age'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Age'}),frozenset({'classification'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'SibSp'}),frozenset({'Fare'}),0.2986111111111111,0.9861111111111112,0.2986111111111111,1.0,1.0140845070422535,0.004147376543209846,inf
frozenset({'SibSp'}),frozenset({'Embarked'}),0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
frozenset({'SibSp'}),frozenset({'classification'}),0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
frozenset({'Parch'}),frozenset({'Fare'}),0.2708333333333333,0.9861111111111112,0.2708333333333333,1.0,1.0140845070422535,0.00376157407407407,inf
frozenset({'Parch'}),frozenset({'Embarked'}),0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
frozenset({'Parch'}),frozenset({'classification'}),0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
frozenset({'Embarked'}),frozenset({'Fare'}),1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.0,1.0
frozenset({'Fare'}),frozenset({'Embarked'}),0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.0,inf
frozenset({'classification'}),frozenset({'Fare'}),1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.0,1.0
frozenset({'Fare'}),frozenset({'classification'}),0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.0,inf
frozenset({'Embarked'}),frozenset({'classification'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'classification'}),frozenset({'Embarked'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
"frozenset({'Sex', 'Pclass'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'Sex', 'Survived'})",frozenset({'Pclass'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Pclass', 'Survived'})",frozenset({'Sex'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
