PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
2,1,1,female,38.0,1,0,0.13913573538264068,C
4,1,1,female,35.0,1,0,0.10364429745562033,S
7,0,1,male,54.0,0,0,0.10122885832000206,S
11,1,3,female,4.0,1,1,0.03259622914329302,S
12,1,1,female,58.0,0,0,0.051822148727810165,S
22,1,2,male,34.0,0,0,0.025374310111545468,S
24,1,1,male,28.0,0,0,0.06929138530460494,S
28,0,1,male,19.0,3,2,0.5133418122566507,S
53,1,1,female,49.0,1,0,0.1497654242623688,C
55,0,1,male,65.0,0,1,0.1209753416358076,C
63,0,1,male,45.0,1,0,0.16293234896625058,S
67,1,2,female,29.0,0,0,0.020494635090094415,S
76,0,3,male,25.0,0,0,0.014931805565640218,S
93,0,1,male,46.0,1,0,0.11940564777490723,S
97,0,1,male,71.0,0,0,0.06764049365134761,C
98,1,1,male,23.0,0,1,0.12366716556464086,C
103,0,1,male,21.0,0,1,0.15085515328815924,S
111,0,1,male,47.0,0,0,0.10149724044618187,S
119,0,1,male,24.0,0,1,0.4831284260198326,C
124,1,2,female,32.5,0,0,0.025374310111545468,S
137,1,1,female,19.0,0,2,0.051301584996521765,S
140,0,1,male,24.0,0,0,0.15458810467956932,C
149,0,2,male,36.5,0,2,0.050748620223090936,S
152,1,1,female,22.0,1,0,0.12999454257145598,S
171,0,1,male,61.0,0,0,0.06538764528744409,S
175,0,1,male,56.0,0,0,0.05991421140938287,C
178,0,1,female,50.0,0,0,0.05604306762136532,C
184,1,2,male,1.0,2,1,0.07612293033463641,S
195,1,1,female,44.0,0,0,0.05410739813385612,C
196,1,1,female,58.0,0,0,0.2859895551532101,C
206,0,3,female,2.0,0,1,0.02042143996477265,S
210,1,1,male,40.0,0,0,0.060507970265993034,C
216,1,1,female,31.0,1,0,0.22109807522194713,C
219,1,1,female,32.0,0,0,0.14891148113361488,C
225,1,1,male,38.0,1,0,0.17566830077223786,S
246,0,1,male,44.0,2,0,0.17566830077223786,Q
249,1,1,male,37.0,1,1,0.10257896680493714,S
253,0,1,male,62.0,0,0,0.051822148727810165,S
258,1,1,female,30.0,0,0,0.16883675574220638,S
263,0,1,male,52.0,1,1,0.1554664461834305,S
264,0,1,male,40.0,0,0,0.0,S
269,1,1,female,58.0,0,1,0.2995388511917728,S
270,1,1,female,35.0,0,0,0.2647385704347907,S
274,0,1,male,37.0,0,1,0.057970539254838485,C
276,1,1,female,63.0,1,0,0.15216446768991498,S
292,1,1,female,19.0,1,0,0.17777475888549785,C
